OBJECTID,gcp_name,latitude,longitude,ellipsoidheight,state,district,tahsil,BRIEF_DESCRIPTION,old_description,UID,pid,gdc_username
19,ADUR,9.118643,76.709731,10.70448,KERALA,PATHANAMTHITTA,ADUR,"GCP is situated on the top of Nedumkunnu Mala, Adur","The GCP is marked on a brass plate on cemented platform on the top of the Nedumkunnumala top in Adur taluk, district.-Pathanamthitta. The Nedumkunnumala top is 5km away from Adur and 13km away from Bharanikkavu. It is 2 km South of Chakkimukku. The Hill",2313020001,A25FR4P,Kerla & Lakshdweep Wing
20,ADURU,12.551741,75.247366,9.32421,KERALA,KASARGOD,KASARGOD,GCP is situated  in the premises of Govt. High Secondary School,"Survey Reference Mark embedded on a cemented pillar, 20cm elevated above the ground level and it is in the premises of Govt. Higher Secondary school ground ,Aduru village, taluk- Kasargod in district-Kasargod. It is about 5m West from electric pole, 16m",2301010001,A25JQH6,Kerla & Lakshdweep Wing
21,AGAR,23.717213,76.022042,457.19523,MADHYA PRADESH,SHAJAPUR,AGAR,GCP is situated in the premises of Nehru College (New),"Survey reference mark fixed at the centre of 30cm x 30cm RCC pillar.  This pillar is protected by 1m x 1m bricks masonry platform about 20cm above from ground level. The GCP pillar is situated in the campus of New Nehru college, Agar falls in tehsil - Ag",1320010001,A355RP2,Madhya Pradesh Geo-spatial Directorate
22,AGARPADA,21.203875,86.376133,-24.45985,ODISHA,BHADRAK,AGARPADA,"GCP is situated in the campus of K.C.Vidhya Mandir High School, Agarpada.","The GCP station is situated in the campus of K.C. Vidhya Mandir High School Agarpada,Tehsil- Agarpada falls in District- Bhadrak of state Odisha. Mark on GCP station It is about 60m SW of main gate and about 10m East of JRC block and about 1m North of ga",1913010001,A363869,Odisha & Chhattishgarh Geo-spatial Directorate
23,AGARTALA,23.814072,91.247447,-33.54675,TRIPURA,WEST TRIPURA,AGARTALA,"GCP is situated in the premises of Regional Survey Training Institute, A.D. Nagar, Agartala","The Survey reference mark is fixed in the centre of a concrete cemented pillar of size about 1 m x 1 m and about 20 cm above the ground level. The station is established inside the premises of Regional Survey Training Institute (RSTI), A.D. Nagar, Tehsil",3804010001,A365HR6,Assam & Nagaland and TMMz Geo-Spatial Directorate
24,AGIA,26.087027,90.558784,-9.81212,ASSAM,GOALPARA,BALIJANA,"GCP is situated in premises of BDO Office, Agia","A Survey reference mark is fixed in the centre of concrete cemented pillar of size 1 m x 1 m and about 20 cm above the ground level. The pillar is situated SE corner of the RH, in Premises BDO Office at Agia,.The GCP site is 50m South of the Balijana BDO",3322010001,A368G3H,Assam & Nagaland and TMMz Geo-Spatial Directorate
25,AGIAON,25.382259,84.609381,5.69498,BIHAR,BHOJPUR,AGIAON,"GCP is situated in the open compound of BDO Office, Agiaon","marked on Survey Reference Mark, which is fixed at the centre of cement concrete pillar of dimension about 1m x 1m and about 20cm above  ground level. The pillar is situated in the open compound of BDO office (Near Irrigation Office), Agiaon, Village Agi",1119010001,A36769J,Jharkhand & Bihar  Geo-spatial Directorate
26,AGNAU,28.098995,72.778933,134.44397,RAJASTHAN,BIKANER,KOLAYAT,"GCP is situated in the campus of Govt. Boys Middle School, Agnau","The GCP station is situated in the campus of Govt. Boys Middle School Agnau, Tehsil- Kolayat and Distt- Bikaner of state Rajasthan. Mark on GCP station. It is about 30m North of track (village) and about 20m SE of school about 8m NE of compound wall corn",904070002,A35CJ3Q,Rajasthan Geo-spatial Directorate
27,AGOMONI,26.1983,89.783816,-17.64303,ASSAM,DHUBRI,GOLAKGANJ,"GCP is situated in the premises of Inspection Bunglow (National Highways),Aagomoni","A Survey reference mark fixed in the centre of a concrete cemented pillar of size about 1 m x 1 m and about 20 cm above the ground level. The GCP pillar is located inside the premises of IB (National Highway) at Agomoni, tehsil -  Golakganj and district",3320010001,A368F5Q,Assam & Nagaland and TMMz Geo-Spatial Directorate
28,AHMEDNAGAR,19.038071,74.651856,638.876,MAHARASHTRA,AHMEDNAGAR,AHMEDNAGAR,GCP is situated in the campus of Agriculture Research Station 'Chas',"A brass dot punched on the top of  an  angle  iron, fixed at the center of a concrete cemented pillar of dimensions about 30 cm x 30 cm and about 50cm above ground level. It is situated in the Campus of Agriculture Research Station 'Chas' (Ahmednagar), a",1719100001,A25XP2M,Maharashtra and Goa Geo-spatial Directorate
29,AHMEDPUR,18.720168,76.948949,465.31367,MAHARASHTRA,LATUR,UDGIR,GCP is situated on the West of Rokdoba Devsthan (Temple),"Circle & dot marked on covered tank, located on small top on the West of road leading to Nanded (73km). It is about 50m West of Temple named ‘ROKDOBA DEVSTHAN’, about 50m NW of distance stone No.554 on Nanded-Ahmedpur road. The station falls in Tehsi",1726010001,A25WRPW,Maharashtra and Goa Geo-spatial Directorate
30,AHWA,20.753374,73.689988,443.30549,GUJARAT,DANG,AHWA,"GCP is situated in the campus of Circuit House, Ahwa","Survey Reference Mark (SRM) is fixed with cement concrete pillar of dimension 1mx1mx1.2m and about 0.05m above the level in the compound of Circuit House R&B at Ahwa, taluka- Ahwa District -Dang of Gujarat. The Circuit house is situated about 1km East fr",1227010002,A352MQM,Gujarat Daman & Diu Geo-spatial Directorate
31,AIZAWAL,23.732942,92.667094,797.519,MIZORAM,AIZAWAL,THING SULTHLIAH,GCP is situated in the campus of Mizoram University,"A circular brass dot punched on the top of  an angle iron ,fixed vertically at the center and flush with the top level of concrete cemented pillar of dimensions about 30cm x 30cm and about 40 cm above from ground level. The GCP pillar is situated in the",3702010001,A365JPM,Assam & Nagaland and TMMz Geo-Spatial Directorate
32,AJARA,16.127348,74.207029,575.12426,MAHARASHTRA,KOLHAPUR,AJRA,GCP is situated in the campus of Rest House (PWD),"The GCP pillar is constructed with circular brass plate, fixed in a cement concrete pillar of dimension 1m x 1m and 20cm above ground level. It is situated in the campus of PWD Rest House, Ajara, about 35m NE from Rest House,  about 12 m South of Mahadev",1732050001,A25RP46,Maharashtra and Goa Geo-spatial Directorate
33,AJMALKHERA (22 MD CHAK),29.040331,72.991432,99.36442,RAJASTHAN,GANGANAGAR,GARSANA,"GCP is situated in the campus of Govt. Secondary School, Ajmalkhera (22 MD Chak)","The circular Survey Reference mark is established in the campus of Govt. Middle School 22MD Chak,tehsil-Garsana of district-Sri Ganganagar. The Reference mark is fixed in the centre of cemented concrete pillar of dimension 1m x 1m and 20cm above ground l",901080001,A35FJ2X,Rajasthan Geo-spatial Directorate
34,AJNALA,31.834751,74.775098,182.83098,PUNJAB,AMRITSAR,AJNALA,"GCP, a village tri-junction pillar belongs to Ajnala, Gujja Pir & Putch","Circle and dot mark engraved on a stone pillar flush with ground level. It is a village trijunction pillar of Ajnala, Gujja Pir and Palch village falls in Tehsil - Ajnala, District- Amritsar of Punjab state. Best approach to reach the trijunction pillar",402010001,A35HPRQ,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
35,AKALKOT,17.515793,76.217922,375.52604,MAHARASHTRA,SOLAPUR,AKALKOT,GCP is situated in the campus of Sub Divisional Office (Irrigation),"Survey Reference Mark is fixed at the middle of cement concrete pillar, situated in the Campus of Sub Divisional Officer Minar Irrigation Rural Works, Sub Division Akkalkot on road leading from Akkalkot to Maindargi. It is about 35m South of entrance gat",1730090001,A25VRG6,Maharashtra and Goa Geo-spatial Directorate
36,AKALWALA (AKAL KA TALA),27.825891,71.752777,82.70728,RAJASTHAN,JAISALMER,POKHARAN,"GCP is situated in the compound of Govt Primary School (Rajkiya Prathamic Vidhyalaya, Akalwala","A Survey reference mark is fixed with cement concrete pillar of dimension 1m x 1m x 1.2m in the compound of Rajkiya Prathmic vidyalaya (Govt. Primary school), Akalwala (Akal ka tala) village in sub tehsil-Nachana, taluka / tehsil- Pokran, district.- Jais",908020001,A359HRQ,Rajasthan Geo-spatial Directorate
37,AKASAPUR,19.755959,79.624502,118.00652,MAHARASHTRA,CHANDRAPUR,GONDPIPRI,"GCP is situated in the premises of Panchyat Office, Akasapur","The GCP pillar is constructed with circular brass plate, fixed in a cement concrete pillar of dimension 1 m x 1 m and 20 cm above ground level, situated in the Campus of Grampanchayat Office, Akasapur. It is about 10 m North of Grampanchayat Office, abou",1716070001,A25XXQJ,Maharashtra and Goa Geo-spatial Directorate
38,AKBARPUR,26.436652,82.592211,21.54105,UTTAR PRADESH,AMBEDKAR NAGAR,AKBARPUR,GCP is situated at village tri-junction pillar located near Khidarpur village,The tri junction pillar divides the three villages 1) Afzalpur 2) Rukrudinpur 3) Dayadhi Mybrallpur. The pillar is located in field bunds 500m. S of Khidarpur village where Khidarpur village is located on Akbarpur. Azamgarh state highway. It is 7km. from,1050020001,A3684CH,Uttar Pradesh Geo-spatial Directorate
39,AKHEGWO,25.716343,94.68623,1122.22613,NAGALAND,PHEK,MELURI,"GCP is situated in the premises of ARPO Community Center, Akhegwo","The Survey reference mark is fixed in the centre of a cemented concrete pillar of size about 1 m x 1 m and about 20 cm above the ground level. The GCP Pillar is located in the ground of ARPO Community Center at Akhegwo, Tehsil - Meluri and District – P",3407010001,A367PPM,Assam & Nagaland and TMMz Geo-Spatial Directorate
40,AKLERA,24.41552,76.565426,266.30629,RAJASTHAN,JHALAWAR,AKLERA,"GCP is situated in the campus of Govt. Office (PWD), Aklera","A circular brass dot punched on the top of an angle iron, fixed vertically in the centre and flush  with  the top  level of concrete cemented pillar of dimensions about 30 cm x 30 cm. and about 50 cm above from ground level. The GCP Library pillar is sit",929030001,A356RCH,Rajasthan Geo-spatial Directorate
41,AKOLA,20.706907,77.03776,233.3352,MAHARASHTRA,AKOLA,AKOLA,GCP is situated in the campus of Dr. Panjabrao Desmukh Krishi Vidhyapeeth Akola,"A brass dot punched on the top of  an  angle  iron, fixed at the center of a concrete cemented pillar of dimensions about 30 cm x 30 cm and about 50cm above ground level. The GCP pillar is situated in the campus of Dr. Panjabrao Desmukh Krishi Vidyapeeth",1705040001,A352VP2,Maharashtra and Goa Geo-spatial Directorate
42,AKOLA BAZAR,20.16426,78.142463,216.02126,MAHARASHTRA,YAVATMAL,YAVATMAL,GCP is situated in the premises of  Primary Health Centre,"The GCP Pillar constructed with circular brass plate, fixed in a cement concrete pillar of dimension 1m x 1m and 25 cm above ground level. It is situated inside on the SE of  Primary Health Centre Campus, Akola Bazar, Village & PO Akola Bazar. It is abou",1715010002,A352W54,Maharashtra and Goa Geo-spatial Directorate
43,ALAMPARAI,12.268025,80.012507,-88.20697,TAMIL NADU,KANCHIPURAM,CHEYUR,"GCP is situated on an old cemented grave platform near Alamparai Fort, Alamparai","Circle & dot engraved and painted in green as SOI PGCPII in the NW corner of a old cemented grave platform, near Alamparai fort,Tehsil- Cheyur, District- Kanchipuram. It is about 50m East of metalled road connecting Kadapakkam and Alamparai fort, about 5",2404040002,A26J272,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
44,ALAMPUR,15.881689,78.124674,196.92668,TELANGANA,MAHABUBNAGAR,ALAMPUR,"GCP is situated in the campus of R&B Guest House, Alampur.","The GCP pillar circle and dot engraved centrally in a cemented concrete pillar of dimension 54cm x 57cm and 14cm above ground level. The pillar is established in the SE corner of R&B Guest house Premises Alampur mandal, Mahbub  Nagar District of Andra Pr",1809150002,A25QWV4,AndhraPradesh &Telangana Geo-spatial Directorate
45,ALIBAG,18.644143,72.869351,-66.77173,MAHARASHTRA,RAIGARH,ALIBAG,"GCP is situated in the campus of Magnetic Observatory, Alibag","The GCP Pillar (Old GT Station) established as a Magnetic Station by SOI is situated in the Campus of Magnetic Observatory, Alibag. GTS Pillar is 15cm above ground level and having 30cm x 30cm cement concrete platform. Pillar found in good condition and",1722040001,A25WJJV,Maharashtra and Goa Geo-spatial Directorate
46,ALIRAJPUR,22.306351,74.345927,235.26346,MADHYA PRADESH,ALIRAJPUR,ALIRAJPUR,GCP is situated in the premises of Forest Rest House,The Survey reference mark is fixed in the centre of the 30 cm x 30 cm RCC pillar. This pillar is 20 cm above the ground level.  This RCC pillar is fixed at the centre 1 m x 1 m of brick masonry platform. The pillar is established in the Campus of Forest,1331030001,A354P88,Madhya Pradesh Geo-spatial Directorate
47,ALLAGADDA,15.137079,78.495958,91.12681,ANDHRA PRADESH,KURNOOL,ALLAGADDA,"GCP is situated in the campus of MPDO Office, Allagadda.","Cut on top of cemented pillar size 52cm x 52cm x 15cm above ground level. It is situated in the compound of M.P.D.O Office Mandal- Allagadda, Distt.- Kurnool (A.P). The station is about 20m SW side of SW corner of M.P.D.O Office, about 80m S of main entr",2011200001,A25QW4F,AndhraPradesh &Telangana Geo-spatial Directorate
48,ALLAHABAD,25.251747,81.715028,41.61692,UTTAR PRADESH,ALLAHABAD,BARA,"GCP is situated in the campus of Tahsil office,Bara, Allahabad","A small circular brass dot punched in an iron angle, fixed vertically in the center of a concrete cemented pillar at dimensions about 30 cm x 30 cm and about 50 cm above ground level. The GCP pillar is situated in the campus of  Bara Tehsil, Allahabad. I",1065040001,A36737P,Uttar Pradesh Geo-spatial Directorate
49,ALLAKUDI,10.772878,79.05324,-44.35861,TAMIL NADU,THANJAVUR,THANJAVUR,"GCP is situated in the premises of VAO Office , Allakudi","A  concrete cement  GCP Pillar of size 1mx1m was constructed inVAO 0ffice Allakudi village, Taluka- Thanjavur, District Thanjavur. The village is located 7km North of Vallam Town. The station is about 5m E of Govt. Child care center, 15m SE of VAO Office",2922020001,A25GXQ3,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
50,ALLAPALLI,19.443588,80.069983,73.5668,MAHARASHTRA,GADCHIROLI,AHERI,"GCP is situated in the compound of PWD Workshop, Allapalli","A brass dot punched on the top of  an  angle  iron, fixed at the center of a concrete cemented pillar of dimensions about 30cm x 30cm and about 50cm above ground level. The GCP pillar is situated in the compound of PWD Workshop in Village Allapalli.  The",1717030001,A26X2C3,Maharashtra and Goa Geo-spatial Directorate
51,ALLAPALLI,17.829833,80.474886,109.33652,TELANGANA,KHAMMAM,GUNDALA,"GCP is situated in the campus of Zila Parishad High School, Allapalli.",GEODETIC RESEARCH BRANCH The GCP is engraved on a brass plate fixed in the center of the top of the concrete cemented pillar. The dimensions of the pillar are 58cm x 58cm and 20cm above the Ground Level.The pillar is situated in the compound of Zillah Pa,1806020001,A26V2RF,AndhraPradesh &Telangana Geo-spatial Directorate
52,ALLURU,14.680145,80.049142,-80.27836,ANDHRA PRADESH,NELLORE,ALLURU,"GCP is situated in the campus of proposed MRO(Tahsildar Office), Alluru.",The GCP pillar is constructed in the premises of proposed MRO (Tehsildar office) Alluru. It is about 80m SW of compound wall corner near Trijunction of MPDO office road with main road which is leading from Alluru to Kodavaluru. It is about 24m West of An,2014080001,A26P2M2,AndhraPradesh &Telangana Geo-spatial Directorate
53,ALMORA,29.616404,79.630877,1273.65381,UTTARAKHAND,ALMORA,ALMORA,GCP is situated between km stone nos. 34 & 33 on Almora-Ranikhet road,Circle dot engraved on top of a cemented pillar  of dimension 1m × 1m × 1m of water pipe line bend and painted in a red colour. The station is about 9m West from the centre of road and about 6m South of a cemented footpath emanating fromNH-87E road (go,508020001,A35FXJJ,Uttarakhand  Geo-spatial Directorate
54,ALWAR,27.535977,76.613032,215.3112,RAJASTHAN,ALWAR,ALWAR,"GCP is situated in the premises of Circuit House, Alwar","A circular brass dot punched on the top of an angle iron, fixed vertically in the centre and flush  with  the top  level of concrete cemented pillar of dimensions about 30 cm x 30 cm. and about 50 cm above from ground level. The GCP Library pillar situat",912050001,A359RGJ,Rajasthan Geo-spatial Directorate
55,ALWARKURICHI,8.77996,77.392427,-6.76951,TAMIL NADU,TIRUNELVELI,AMBASAMUDRAM,"GCP is situated in the premises of Paramakulyani Higher Secondary School, Alawar Kurichi","A cemented concrete GCP pillar was constructed of dimension 1mx1m at Alwarkurichi village,Taluka Tirunelveli, Distt.-Tirunelveli. It is about 100m E of Paramakulyani Higher Secondary school, about 500m South of Paramakulyani Hospital and about 10m E of d",2932030001,A25CVQ9,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate"
56,AMARPUR (DASHGHARA),22.959311,88.027984,-41.25338,WEST BENGAL,HUGLI,DHANIAKHALI,"GCP is situated in the campus of Section Office (Irrigation Division), Dashghara","GCP Reference mark fixed with RCC pillar with dimension 1mx1m in the campus of Section office Dashghara (Irrigation Division), Dashghara, Tehsil- Dashghara, Distt.-Hoogli, West Bengal. The station is best approachable from Arambag to Tarakeshwar about 30",1615010001,A364CX2,West Bengal & Sikkim Geo-spatial Directorate
57,AMBAD,19.619305,75.791711,446.152,MAHARASHTRA,JALNA,AMBAD,GCP is situated in the campus of Talathi Office,"marked on circular brass plate fixed in a cemented concrete pillar of dimension 1m x 1m and 20cm above ground level. It is situated in the campus of the Talathi Office, Ambad, about 100 m South of Pachod Budruk Road to Ambad joining at Shivaji Chowk. It",1713040001,A25XQJQ,Maharashtra and Goa Geo-spatial Directorate
58,AMBAH,26.703296,78.224398,110.77422,MADHYA PRADESH,MORENA,AMBAH,GCP is situated in the premises of Rest house (PWD),The Survey reference mark is fixed in the centre of the 30cmx30cm RCC pillar. This pillar is 20 cm above the ground level.  This RCC pillar is fixed at the centre 1mx1m of brick masonry platform. The GCP pillar is established in the campus of RH (PWD) at,1301010001,A358WP6,Madhya Pradesh Geo-spatial Directorate
59,AMBAJOGAI,18.723958,76.365643,583.2348,MAHARASHTRA,BEED,AMBAJOGAI,GCP is situated in the premises of Custurd Apple Research Station,"Survey Reference Mark is fixed at the centre of cement concrete pillar of dimension of 0.75m x 0.75m and about 20 cm above ground level. It is situated in the campus of Custurd Apple Research Station, Ambajogai. It is about 700m North of road leading fro",1724080001,A25WRP9,Maharashtra and Goa Geo-spatial Directorate
60,AMBALA,30.399169,76.829932,229.73164,HARYANA,AMBALA,AMBALA,"GCP is situated on a village tri-junction pillar of villages Panjokhra, Garmala & Janetpur","Circle and dot engraved on the top of tri-junction pillar of villages ‘Panjokhra’, ‘Garnala’ & ‘Janetpur’. Dimension of the pillar is 0.4m x 0.4m x 0.75m. It falls in Tehsil and District-Ambala of Haryana State. The station is situated about",601010001,A35GR9R,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate"
61,AMBALAPPUZHA,9.437177,76.344001,-79.7176,KERALA,ALAPPUZHA,AMBALAPPUZHA,GCP is situated on the terrace of Carmel Polytecnic Administrative Block,"The GCP on a brass plate is fixed on a cemented platform on the top of Carmel Polytechnic Administrative block, Punnapra village taluka-Ambalappuzha, Distt.-Alappuzha. The Polytechnic situated just West side of NH-47 which connects Kollam- Alappuzha town",2311020001,A25FRC8,Kerla & Lakshdweep Wing
62,AMBAPADA,20.298284,73.40407,496.46193,GUJARAT,VALSAD,KAPRADA,GCP is situated in the compound of Hunda-Ambapada Prathamic Shala,"The GCP pillar is situated in the compound of “Hunda-Ambapada Prathamik Shala at Ambapada village, taluka-Kaprada and district-Valsad. Survey Reference Mark is fixed in the middle of pillar made with concrete of size 1mx1mx1.2m and 0.35m above the leve",1228030001,A352M7C,Gujarat Daman & Diu Geo-spatial Directorate
63,AMBASSA,23.923221,91.874253,54.06732,TRIPURA,DHALAI,AMBASSA,"GCP is situated in the premises of Office of Sub-Divisional Police Officer,Ambassa.","The Survey reference mark is fixed in the centre of a cemented concrete pillar of size about 1 m x 1 m and about 20 cm above the ground level. The GCP pillar constructed in the premises of Sub-divisional police officer (SDPO), near to Helipad. The pillar",3802010001,A365HWV,Assam & Nagaland and TMMz Geo-Spatial Directorate
