OBJECTID,sbm_type,latitude,longitude,Z,state,district,tahsil,gdc_username,old_description
26,Type 'B',17.545,82.854,0,Andhra Pradesh,VISHAKHAPATNAM,ELAMANCHILI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Elamanchili ,interred 0.6 m below ground level in the compound of SGA Govt. college Elamanchili Vishakhapatnam (A .P.)                                                            The distance and bearing in the surrounding objects are:- NW cor"
27,Type 'B',15.478,77.387,0,Andhra Pradesh,KURNOOL,ASPARI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Aspari Police Station. It is situated S in back compound of PS, Aspari, Taluk-Alur, Distt.- Kurnool, interred 0.65m below ground level. The distances  & bearings to the  surrounding objects are: SW corner of PS building is 2.75m & 8º , SE co"
28,Type 'B',16.597,80.892,0,Andhra Pradesh,KRISHNA,BAPULAPADU,AndhraPradesh &Telangana Geo-spatial Directorate,"Type'B at MPUP school Ampapuram,      interred 0.60m below ground level in the premises of  E compound of zila parisad primary school Ampapuram.The distance  and bearing to the  surrounding objects are:- NW corner of the boundery along road side is 6.55"
29,Type 'B',16.372833,81.274556,0,Andhra Pradesh,KRISHNA,BANTUMMILLI,AndhraPradesh &Telangana Geo-spatial Directorate,Type 'B' Engraved on the cemented RCC pillar at MRO office compound. It is situated at back side MRO office. It is 60m NE from main gate of office and 8m form rain gauge device. It is about 40m NE from some. Houses and 30m NW from office compound wall and
30,Type 'B',17.671556,80.888278,0,Andhra Pradesh,EAST GODAVARI,BHADRACHALAM,AndhraPradesh &Telangana Geo-spatial Directorate,Type 'B'At Bhndrachalam interred 1.55m below ground level in the compound of hari the hotel. It is 1.35 m SE of NW corner of wall 1.3m of SW of NE of SW corner of wall .199m  NE of building corner and 15.2m NE of shutter
31,Type 'B',14.778,80.001,0,Andhra Pradesh,NELLORE,BOGOLE,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at  Kavurupalli. Interred 10.0m E of hut of Shri Natakrani Venkaih at N skirt of village about 45.0m S from masjid, about 150.0m S from SW corner of culvert no.1335/2, about 100.0m NW from Kovurpalli junction, about 220.0m N from km stone no. 21"
32,Type 'B',15.042611,78.545167,0,Andhra Pradesh,KURNOOL,CHAGALAMARRI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at ZP High School Bado Battanam.
A zink tablet fixed in a solid cementedblock of Masonary 0.70m below ground level in the compound of Primary School Peddo Bodanam Kurnool(A.P.).
Bench mark close to the Wall and allmost between two wimdow of the So"
33,Type 'B',14.955944,78.5925,0,Andhra Pradesh,KURNOOL,CHAGALAMARRI,AndhraPradesh &Telangana Geo-spatial Directorate,Type 'B' R&B Changlamari (A.P.)
34,Type 'B',14.271,77.628,0,Andhra Pradesh,ANANTHAPUR,CHENNEKOTHAPALLE,AndhraPradesh &Telangana Geo-spatial Directorate,"GTS BM AD 1978 Type'B' at Chenna Kotapalli.Type 'B' at  Police Station Chinnakotapalli, talluk Penukonda,  Distt-Anantpur, interred 0.60m below ground level. The distances & bearings to the Surrounding objects are: E corner of the front varandah pillar i"
35,Type 'B',16.068,80.152,0,Andhra Pradesh,GUNTUR,CHILAKALURIPET,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at MRO office, CHILKARUPETA. Interred 0.60m below ground level in E compound of Mandal revenue office Chilkaluripet Guntur.                                                    The distances & bearigs to the surrounding objects are:"
36,Type 'B',16.086472,80.1645,0,Andhra Pradesh,GUNTUR,CHILAKALURIPET,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at  MRO Office Chilakaluripet, Interred 0.60m below ground level in East compound of Mandal Reverue office, Chilakaluripet Guntur. The distance & bearings to the surrounding objects are: NE corner of MRO building, 24.90m & 345?,  SE corner of MR"
37,Type 'B',15.587889,79.861944,0,Andhra Pradesh,PRAKASAM,CHIMAKURTI,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Chinakurthy Distt Prasham(A.P) interred 0.60m below ground level in the compound Govt. Juniour College & high School Chimakurthy.
The distance 7 bearing to the surrounding objects are:- 47m & 270° W from ashok Stambh flag Post at School compou"
38,Type 'B',14.838278,78.655417,0,Andhra Pradesh,CUDDAPAH,DUVVUR,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at MDO and MRO Office Duvvuru. A Zink tablet fixed in a soild concerete block of masonary 0.60 below ground level in the compound of Mro & MDO Office Duvvuru Chintoor - Kurnool Road, about 40m South from Mro Office corner and 10m SE from inspectio"
39,Type 'M',19.212,84.749,0,Odisha,GANJAM,KANISHI,Odisha & Chhattishgarh Geo-spatial Directorate,"Type M at Golantra , this consists of a stone monalith 0.3m square at base and 0.8m high , the top 5 cm being dressed to the from of a frustum of a pyramid terminating in square of 8cm side the monalith is set in a bed of concreate 1.5 m square and 0.9m"
40,Type-M,22.151222,86.541861,0,Odisha,MAYURBHANJ,BARIPADA,Odisha & Chhattishgarh Geo-spatial Directorate,Type ‘M’ at Bangiriposhi. It is inside ‘SE’ corner of Panchayat Samiti  campus and 20m ‘NE’ of Bharat Nirman Rajib Gandhi Seba Kendra Building and 2 mtrs ‘E’ of wire tenceing of Automatic weather station.
41,GTS  BM AD 1895,20.033917,85.520417,0,Odisha,KHORDHA,KHORDHA,Odisha & Chhattishgarh Geo-spatial Directorate,"In PWD inspection Bungalow at Jankia, It consists of stone slab fixed in a 0.9 mt cube of masonry flush with cement flooring of front of NW veranda between north corner of building and door of north room, 0.4 mt from north corner of wall 1.2 mt from nort"
42,Type 'B',20.263278,85.7915,0,Odisha,KHORDHA,BHUBANESWAR,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Khandagiri, Bhubneshwar, Survey of India Office"
43,Type 'C',21.517,84.535,0,Odisha,DEOGARH,DEOGARH,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'C' at SE end of a long strip of rock running in SE and NW direction,  projecting 1.5m above ground level, 42m SW of middle of Deogarh-Sambalpur section of NH-6. It is lies between km stone No. 500 & 499 from Sambalpur, the first one showing Kolkata"
44,Type 'M',21.533,84.726667,0,Odisha,DEOGARH,DEOGARH,Odisha & Chhattishgarh Geo-spatial Directorate,"Type'M' At Purunagarh (Deogarh) is situated under a Banyan tree at the junction of Deogarh-Sambalpur road section of NH-6 and road emanating from NH-6 to Deogarh town. BM is 140m N of Jagannath temple at Purunagarh, 19.1m N of the NH-6 & about 60m W of I"
45,Type 'C',21.539,85.009,0,Odisha,DEOGARH,DEOGARH,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'C' on bed rock situated in the compound of house of Shri Trilochan Pratap of Harijan Pada, Barkot, 10.9m SW of ummetteled road from Deogarh to Palahara & about 100m N of new road & new bridge of NH-6."
46,Type 'B',21.481,85.079,0,Odisha,DEOGARH,DEOGARH,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Bampada, enterred 0.60m below ground level in the southern compound of Upper Primary School. The distances and bearings to the surrounding objects are:-"
47,Type-M,21.059167,86.497778,0,Odisha,BHADRAK,BHADRAK,Odisha & Chhattishgarh Geo-spatial Directorate,"Type-M, AT BHADRAKH,  consist of monolith of chunar stand stone 0.30  m square and o.85 m high of which 0.25 well dressed is above ground level, the remaining 0.60 m is on undressed state is embeded in a bed of concrete 150 m square and 0.90 m deep the u"
48,Type 'C',21.301,83.402,0,Odisha,BARAGARH,DHUMAPALI,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'C' at Sohela, it is situaed in SE compound of house of Kaviraj (Dr/ Vaidhya) Sh. Parkith Meher S/O Besas Pal  Meher, about 46m S of Raipur-Sambalpur road, 42m N of Sohela Barpali road. The distances & bearings to the surrounding objects are: -"
49,Type 'B',21.337,83.62,0,Odisha,BARAGARH,KALAPANI,Odisha & Chhattishgarh Geo-spatial Directorate,"Type 'B' at Baragarh, interred 0.5m below ground level, 1.5m NE of SW side compound wall of office of Asstt. Engineer (R & B), Subdivision of PWD at Baragarh .The distances & bearings to the surrounding objects are: -                                    S"
50,Type 'B',17.783611,81.282167,0,Andhra Pradesh,EAST GODAVARI,CHINTUR,AndhraPradesh &Telangana Geo-spatial Directorate,Type 'B' at Sirivella MPOP school Sirivella
51,Type 'B',13.211139,79.09925,0,Andhra Pradesh,CHITTOOR,CHITTOOR,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at  R & B Banglow at Chitoor, Andhra Pradesh"
52,Type 'B',14.467111,78.82275,0,Andhra Pradesh,CUDDAPAH,CUDDAPAH,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Cuddapa, situated at R & B Inspection Banglow, YSR district Kaddapa 9AP)  of SW side of Banglow, entered 0.75 m below ground level. The distance & bearing of surrounding objects are: SW corner of IB window, 1.20m & 114 deg, 40m N from a SW wa"
53,Type 'B',14.725556,78.718139,0,Andhra Pradesh,CUDDAPAH,MAIDUKURU,AndhraPradesh &Telangana Geo-spatial Directorate,"Type 'B' at Mydukur canal road irrigation office, A- zink plate fixed in a solid concrete block Masonary, about 90m below ground level in the irrigation office Mydukur about 15m West from IICA (Govt. Of Japan) office about 100m South from Irrigation offi"
54,Type 'A',15.501711,80.044,0,Andhra Pradesh,PRAKASAM,ONGOLE,AndhraPradesh &Telangana Geo-spatial Directorate,"Type'A'  at Ongole . On top of a zinc pipe, Interred about 60 centimetre below ground level in the compound of R&B traveller bungalow, Ongole hill. It is protected by a masonary pillar 61cm square & 30cm high with 15cm square in the centre. The distance"
55,Type 'B',24.529,77.18,0,Madhya Pradesh,GUNA,RAGHOGARH,Madhya Pradesh Geo-spatial Directorate,"Type 'B' at Ruthiya, embedded 0.65m below ground level in the compound of Govt. RH (PWD) at  Ruthiya (Distt.-Guna, MP), 11m SE of SE corner of RH building and near to rain guage of C.G.W.B. The distance and bearing to the surrounding objects are :-"
56,Type 'B',30.583,77.024,0,Haryana,PANCHKULA,PANCHKULA,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type 'B' at Raipur Rani, interred 0.6 m below ground level in the NE corner of compound of office of Panchayat Samiti or Khand Vikas & Panchayat Office at Raipur Rani, just close to main entrance gate of above office. The distances & bearing to the surro"
57,Type 'M',32.277,75.655,0,Punjab,PATHANKOT,PATHANKOT,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type 'M' Standard Bench mark at Pathankot PWD R.H., consists of a monolith of bricks and masonry 0.36m square and 0.45m high of which 0.29m is above its platform level and the remaining 0.16m is embedded/constructed in a bid of concrete platform 1.5m squ"
58,Type 'B',32.273,75.644,0,Punjab,PATHANKOT,PATHANKOT,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type 'B' at Pathankot Railway Station, embedded in a 0.9m cube of masonary, about 0.3m below ground level in NW  compound of Asstt. Devisional Engineer, Bungalow No. is E - 51, in Railway Colony, about 82m N from the main entrance of Pathankot Railway S"
59,Type 'B',32.291,75.755,0,Punjab,PATHANKOT,PATHANKOT,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Type 'B' At Chakki interred 0.8 m below ground level near NE corner of the compound of Military Guard-Quarter and about 20 m SSW of the junction of the                  Pathankot - Dalhousie Road with the road leading to Palampur. The distance and bearin
60,Type 'B',30.347972,76.374972,0,Punjab,PATIALA,PATIALA,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type-B  at PATIALA  interred 0.60 m below ground level in the southern compound of P. W. D. rest house. The distance and bearings of the  surrounding are:- SE corner of J.E.'s office cum store is 11.40m and 322°, SE corner of rest house is 37.60m  and 3"
61,Type 'B',30.98,76.518,0,Punjab,RUPNAGAR,RUPNAGAR,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type'B' At Ropar (Roopnagar), interred 0.60m below ground level in open compound of head works of Sir Wind Canal, Ropar. The distance & bearing to the surrounding objects are: centre of  SE pillar of entrance  gate to the compound of Rest House No. 1 ( N"
62,Type 'B',31.027,76.608,0,Punjab,RUPNAGAR,RUPNAGAR,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type'B' at Ghanauli, interred 0.60m below ground level in BBMB Canal Colony, about 200m W of Ghanauli Railway Station. The distance & bearing  to the surrounding objects are: NW corner of BBMB Junior Engineer Quarters, 20.m & 69°, SW corner of the same"
63,Type 'B',31.171111,76.571944,0,Punjab,RUPNAGAR,RUPNAGAR,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type 'B' at Lohand intered 0.8m below ground Level. It is situated just N side of BBMB reader Room on Bank of canal at Punjab. The distance and bearing of surrounding object are NW corner of BBmB Reader ststaion 3.6m and 359°, NE corner of same Room 2.8m"
64,Type 'B',30.257528,76.111639,0,Punjab,SANGRUR,SANGRUR,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type'B' Nadampur AD 1911, embedded about 0.6m below ground level in compound of Canal I.B. It is 24m sw of pipal tree.  It is 20m SE of SW corner of boundary wallof IB, distances and bearing of the surrounding objects are :- West corner of subordinates q"
65,Type 'B',30.739,76.715,0,Haryana,CHANDIGARH,CHANDIGARH,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type'B' at Mohali, a brass plate interred 0.50m below ground level on SE corner of compound of Civil Hospital, Mohali. The distance & bearing to the surrounding objects are: SE corner of boundary wall , 2.70m & 110°, SE corner of Hospital Building , 51"
66,Type 'B',30.742,76.809,0,Chandigarh,CHANDIGARH,CHANDIGARH,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","At U.T. Guest House (State Guest House), Sector No. - 6 at Chandigarh. A brass plate interred 0.55m below ground level near the NE corner of the compound of U.T. Guest House,  Sector No. 6 at Chandigarh. The distance & bearing of the surrounding objects"
67,Type 'B',30.732,76.763,0,Chandigarh,CHANDIGARH,CHANDIGARH,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type 'B' at Kisan Bhavan at Chandigarh. A brass plate interred 0.50m below ground level in the SE compound of bamboo garden of Kisan Bhavan board sector No. 35, Chandigarh, it is 1.60m NW of south bounadry wall of compound. The distance & bearing to the"
68,Type 'P',30.714,76.779,0,Chandigarh,CHANDIGARH,CHANDIGARH,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate","Type 'P' Bench Mark consists of a stone monolith 60cm  at base and 40.3cm high, the upper 30.70cm being  dressed to the form of a frustum of a pyramid terminating  in square of 20.8cm side. The stone rest on a bed of  concrete 2m square and 1.5m deep. Th"
69,Type 'B',25.421,86.309,0,Bihar,BEGUSARAI,BALIA,Jharkhand & Bihar  Geo-spatial Directorate,"Type 'B' at Ballia. Interred 0.65 m below ground level in the south compound of PWD  Inspection Bungalow at Ballia (now officeof D.S.P., Ballia) about 300 m SW of Ballia thana. The distances and bearings to the sourroundings objects are:-   SE pillar of"
70,Type 'B',25.425,86.128,0,Bihar,BEGUSARAI,BEGUSARAI,Jharkhand & Bihar  Geo-spatial Directorate,"Type'B'at Begusarai, Interred 0.70 m below ground level in NE compound of P.W.D. Inspection Bungalow at Begusarai. The distances and bearings to the surrounding objects are.     1. SE corner of IB(Inspection Banglow) building 29.85 m & 240°.2. NE corne"
71,Type 'B',26.794,84.515,0,Bihar,PASHCHIM CHAMPARAN,BETIAH,Jharkhand & Bihar  Geo-spatial Directorate,"Type'B' at Bettiah, interred 0.6m below ground level in W compound of circuit house Bettiah. The distance and bearing to the surrounding objects are:    1. NE corner of P.W.D. Inspection bangalow Bettiah 19.8m and 240º.                2. SE corner of th"
72,Type 'B',25.663,85.841,0,Bihar,SAMASTIPUR,DARSINGSARAI,Jharkhand & Bihar  Geo-spatial Directorate,"Type 'B' at Dalsingsarai,  interred 0.8m below ground level in the West compound of Zila Parishad IB(Inspection Banglow) and about 300m SW of Dalsingh Sarai Railway Station. The distance and bearing to the surrounding objects are:"
73,Type 'B',26.323194,87.249833,0,Bihar,ARARIYA,FORBES GANJ,Jharkhand & Bihar  Geo-spatial Directorate,"Type 'B' Bench Mark at Matiyari, Forbesganj, Bihar. Embedded 0.60m below Ground Level situated in the Compound of Kanya Prathmik Vidhyalaya, Matiyari, Forbesganj, Araria (Girls Primary School, Matiyari, Forbesganj, Araria, Bihar)."
74,Type 'B',26.064444,87.171111,0,Bihar,ARARIYA,FORBES GANJ,Jharkhand & Bihar  Geo-spatial Directorate,"Type 'B', Bhargama"
75,Type 'B',25.414,86.65,0,Bihar,KHAGARIA,GOGARI,Jharkhand & Bihar  Geo-spatial Directorate,"Type'B' at Gogri Jamalpur. Interred 0.60 m below ground level in NW corner of compound of District Board Inspection bungalow (now  it is residence of S.D.O,  Jamalpur Gogri, at Jamalpur about 8 km. S of NH-31. The distances and bearings to the surroundin"
76,Type 'B',25.464167,86.639444,0,Bihar,KHAGARIA,GOGARI,Jharkhand & Bihar  Geo-spatial Directorate,"Type 'B' at Maheshkhunt interred 0.70m Below Ground Level in S Compound of Assistant Engineer NH-31, PWD Office at Maheshkhunt. The Distance and bearing to Surrounding Objects are: SE Corner of Temporary Residence of incharge of Maheshkhunt Police Statio"
77,Type 'B',26.596306,86.140833,0,Bihar,MADHUBANI,JAINAGAR,Jharkhand & Bihar  Geo-spatial Directorate,"Type 'B' at Jaynagar, Madhubani, Bihar, interred 0.60m below Ground Level, situated in the compound of Water resources department Kamala canal , Pramandal Jaynagar.  The distances and bearings to the surrounding objects are: from SW corner of building of"
78,Type 'B',25.626,87.399,0,Bihar,KATIHAR,KATIHAR,Jharkhand & Bihar  Geo-spatial Directorate,"Type'B'  Kora. at Interred 0.6 m below ground level in N compound of Irrigation dak bungalow, Kora. The distances and bearings to the surroundings objects are: NE corner of inspection bungalow 7.25 m and 190°, NE corner of attached let bath 4.95 m and 1"
79,Type 'B',25.454,87.251,0,Bihar,KATIHAR,KATIHAR,Jharkhand & Bihar  Geo-spatial Directorate,Type'B'at Kursela. Interred 0.70 m below ground level in S compound of PWD (NH-31) Inspection bungalow at Kursela. The distances and bearings to the surrounding objects are: SE corner of PWD (NH-31) Inspection bungalow 37.8 m and 339°. SW corner of the
80,Type 'B',12.836,75.255,0,Karnataka,DAKSHIN KANNADA,PUTTUR,Karnataka Geo-spatial Directorate,Type'B' at Uppinangadi Taluka Panchayat Bungalow near BCM Hostel & near forest office. It is opposite to Aditya Hotel and south of NH-48 .it is interred  0.55m  below ground level  in the SE compound of Taluka  Panchyat Inspection  Bunglow at Uppinangadi
81,Type 'B',12.828,75.522,0,Karnataka,DAKSHIN KANNADA,PUTTUR,Karnataka Geo-spatial Directorate,"Type 'B' At SIRADI ,embbeded 0.55m below ground level in the Sern main compound of Nurses quarters ( old travellar Bunglow),Taluk Puther ,District Dakshin Kannada. It is  12m NW of a big mango tree, 7.5m  W of a foot path leading to Sri Thomas s/o Sri Da"
